27/09/2014,FEROLETO,INTERNAZIONALE,PETRONIO
28/09/2014,,INTERNAZIONALE,PETRONIO
29/09/2014,,,CAPUTI
30/09/2014,,,DE SANDO
01/10/2014,,,DI CELLO
02/10/2014,,,ROPERTO
03/10/2014,,,DIACO
04/10/2014,,,PARISE
05/10/2014,FURCI,RASPA,MALLAMO
06/10/2014,,RASPA,MALLAMO
07/10/2014,,,FREZZA
08/10/2014,,,INTERNAZIONALE
09/10/2014,,,FURCI
10/10/2014,,,COTRONEO
11/10/2014,,,FEROLETO
12/10/2014,DI CELLO,FEROLETO,PETRONIO
13/10/2014,,FEROLETO,PETRONIO
14/10/2014,,,PARISE
15/10/2014,,,AIELLO
16/10/2014,,,DI CELLO
17/10/2014,,,ROPERTO
18/10/2014,,,DIACO
19/10/2014,INTERNAZIONALE,CAPUTI,DIACO
20/10/2014,,,DIACO
21/10/2014,,,RASPA
22/10/2014,,,FREZZA
23/10/2014,,,INTERNAZIONALE
24/10/2014,,,FURCI
25/10/2014,,,CAPUTI
26/10/2014,AIELLO,DE SANDO,COTRONEO
27/10/2014,,DE SANDO,COTRONEO
28/10/2014,,,SALUS
29/10/2014,,,MALLAMO
30/10/2014,,,PETRONIO
31/10/2014,,,CAPUTI
01/11/2014,,DIACO,DE SANDO
02/11/2014,FREZZA,SALUS,ROPERTO
03/11/2014,,SALUS,ROPERTO
04/11/2014,,,MALLAMO
05/11/2014,,,PETRONIO
06/11/2014,,,CAPUTI
07/11/2014,,,MALLAMO
08/11/2014,,,SALUS
09/11/2014,PARISE,MALLAMO,FURCI
10/11/2014,,MALLAMO,FURCI
11/11/2014,,,PETRONIO
12/11/2014,,,CAPUTI
13/11/2014,,,DE SANDO
14/11/2014,,,SALUS
15/11/2014,,,MALLAMO
16/11/2014,RASPA,PETRONIO,DI CELLO
17/11/2014,,PETRONIO,DI CELLO
18/11/2014,,,CAPUTI
19/11/2014,,,DE SANDO
20/11/2014,,,SALUS
21/11/2014,,,MALLAMO
22/11/2014,,,PETRONIO
23/11/2014,FEROLETO,CAPUTI,INTERNAZIONALE
24/11/2014,,CAPUTI,INTERNAZIONALE
25/11/2014,,,DE SANDO
26/11/2014,,,SALUS
27/11/2014,,,MALLAMO
28/11/2014,,,PETRONIO
29/11/2014,,,INTERNAZIONALE
30/11/2014,DIACO,AIELLO,DE SANDO
01/12/2014,,AIELLO,DE SANDO
02/12/2014,,,DI CELLO
03/12/2014,,,FURCI
04/12/2014,,,DIACO
05/12/2014,,,FREZZA
06/12/2014,,,RASPA
07/12/2014,COTRONEO,SALUS,FREZZA
08/12/2014,,SALUS,FREZZA
09/12/2014,,,INTERNAZIONALE
10/12/2014,,,AIELLO
11/12/2014,,,COTRONEO
12/12/2014,,,FEROLETO
13/12/2014,,,RASPA
14/12/2014,ROPERTO,MALLAMO,PARISE
15/12/2014,,MALLAMO,PARISE
16/12/2014,,,AIELLO
17/12/2014,,,COTRONEO
18/12/2014,,,INTERNAZIONALE
19/12/2014,,,DIACO
20/12/2014,,,PARISE
21/12/2014,FURCI,RASPA,PETRONIO
22/12/2014,,RASPA,PETRONIO
23/12/2014,,,FREZZA
24/12/2014,,,ROPERTO
25/12/2014,,PETRONIO,ROPERTO
26/12/2014,,PETRONIO,DI CELLO
27/12/2014,,,FEROLETO
28/12/2014,DI CELLO,CAPUTI,FEROLETO
29/12/2014,,CAPUTI,FEROLETO
30/12/2014,,,PARISE
31/12/2014,,,FURCI
